AFAM,African American Studies
ANTH,Anthropology
ARTH,Art History
ARTS,Arts
BIO,Biology
CHEM,Chemistry
COM,Communications
CMPT,Computer Science
DANC,Dance
ECON,Economics
ENVS,Environmental Studies
FILM,Film
GEOG,Geography
HIST,History
LR,Learning Resources
LING,Linguistics
LIT,Literature
MATH,Mathematics
MUS,Music
NATS,Natural Sciences
PACE,Pathway to Academic Choice
PHIL,Philosophy
PHOT,Photography
PHYS,Physics
POLS,Political Science
PSYC,Psychology
FS,Seminar
SOCS,Social Science
SOC,Sociology
SART,Studio Arts
THEA,Theater
CHIN,World Languages and Cultures - Chinese
ESL,World Languages and Cultures - English
FREN,World Languages and Cultures - French
GERM,World Languages and Cultures - German
LATN,World Languages and Cultures - Latin
SPAN,World Languages and Cultures - Spanish